distance_km,delivery_time_min
6.56,5.77
123.57,61.17
54.67,27.34
19.93,12.13
78.81,36.24
115.73,54.31
33.16,15.87
93.81,44.29
13.72,14.33
8.7,6.07
80.17,48.97
81.55,43.18
95.98,48.75
109.19,51.56
146.4,72.98
77.93,38.34
49.12,27.47
119.48,66.45
41.35,23.32
66.41,38.33
12.69,8.6
4.78,7.05
144.43,75.31
125.56,59.62
104.7,57.55
61.93,34.99
26.82,15.38
24.31,17.84
38.29,25.15
82.83,44.14
107.47,48.65
99.37,47.54
42.71,23.48
143.27,69.25
110.95,56.79
83.6,43.15
92.15,42.46
63.52,34.72
37.91,23.89
54.04,31.0
113.92,59.51
3.14,8.91
18.29,14.61
7.85,8.32
7.07,3.2
128.46,64.1
105.85,53.26
71.65,38.06
15.58,8.18
74.25,35.17
71.55,40.36
26.81,16.95
65.64,36.58
60.38,32.26
92.76,46.83
95.63,50.85
7.75,6.94
56.82,30.86
94.25,46.03
75.97,37.88
128.62,61.95
99.15,50.28
25.28,14.94
11.51,13.95
96.72,45.84
4.95,6.67
88.28,43.41
141.09,72.83
86.75,44.63
58.84,34.57
96.85,44.13
69.28,36.98
82.3,44.7
141.28,68.82
58.53,34.53
144.22,68.35
135.9,70.38
30.17,25.47
11.33,9.01
16.02,10.87
3.72,11.03
15.07,16.52
102.77,49.68
11.61,8.96
48.53,25.99
126.89,58.07
4.47,4.26
122.36,57.05
43.0,22.05
18.61,13.27
104.81,52.87
94.71,52.27
131.74,61.29
110.53,57.69
120.72,58.68
43.02,24.21
27.44,19.37
112.84,52.41
121.22,60.7
148.59,72.36
62.48,34.59
56.43,31.26
116.69,64.88
51.78,26.39
139.68,66.26
128.9,61.14
64.92,32.55
112.88,53.88
113.43,59.61
16.37,16.63
135.48,64.25
76.28,36.83
124.14,62.28
48.69,25.25
134.43,67.39
58.99,32.15
2.61,2.0
135.9,70.8
14.6,16.96
48.58,25.02
142.56,67.99
142.64,70.05
86.44,44.9
95.14,49.79
67.82,41.55
44.69,24.58
49.97,25.09
101.21,46.41
113.1,53.7
118.95,58.43
118.65,63.78
14.59,10.01
74.67,39.27
9.58,9.26
82.88,45.86
66.79,42.64
133.27,63.38
53.29,27.51
18.44,16.43
22.31,17.09
114.47,62.05
93.11,48.65
16.07,11.15
13.53,12.86
105.44,55.77
11.84,12.79
123.46,62.08
106.23,56.0
13.12,14.41
13.64,15.28
148.01,73.55
56.77,30.05
56.23,30.74
122.11,63.57
142.14,66.51
147.91,72.67
113.25,54.78
57.06,30.76
13.44,14.88
116.79,58.13
84.2,43.03
64.21,29.81
136.05,68.46
17.57,14.84
74.4,44.97
2.69,5.29
70.83,37.53
9.39,9.97
18.7,18.15
18.51,13.04
97.73,49.82
112.16,57.3
87.92,45.12
144.36,68.62
56.86,31.17
43.57,27.83
130.42,60.61
34.32,20.84
144.52,67.93
2.81,9.85
145.51,65.91
7.43,6.67
133.78,66.33
79.63,45.53
148.95,71.83
12.0,8.73
83.52,48.23
145.43,66.1
78.94,33.93
94.78,48.97
104.67,50.6
68.73,32.86
94.51,49.65
88.06,45.36
135.27,64.18
7.77,4.66
42.86,26.9
142.61,71.13
133.65,64.84
68.89,41.54
93.4,43.82
42.33,19.47
29.03,15.99
70.09,36.4
53.65,29.87
87.96,43.86
12.58,11.72
146.18,67.03
147.95,75.91
105.03,52.02
80.88,44.75
47.12,27.23
122.26,61.39
103.02,53.07
25.23,17.7
136.73,68.46
123.56,64.59
142.52,69.72
109.13,56.24
92.4,46.31
63.32,37.81
139.98,65.96
130.04,68.92
7.74,8.36
4.93,2.93
57.09,31.07
121.77,57.75
148.1,74.17
23.41,13.58
89.53,43.95
57.75,25.32
145.52,69.13
126.48,54.64
125.91,56.91
70.84,39.16
62.81,35.62
41.74,25.06
9.4,6.33
129.84,63.28
122.12,59.94
149.96,69.01
149.5,76.79
83.76,45.32
115.58,56.35
141.77,68.88
127.6,63.05
37.85,15.91
68.13,34.92
20.24,12.06
143.15,66.41
91.32,45.25
35.07,26.17
101.08,52.41
93.1,45.18
54.37,31.18
17.92,17.26
101.06,53.25
78.53,40.52
116.08,55.3
78.5,42.42
127.98,63.77
83.23,45.14
84.58,44.97
131.62,67.38
61.12,30.9
20.97,18.39
5.29,7.97
113.52,62.31
93.43,44.98
105.91,57.87
32.73,20.32
21.32,12.64
3.17,4.97
53.24,28.0
88.9,46.28
59.44,33.32
66.18,33.06
135.72,66.0
52.89,35.23
77.58,45.09
117.76,59.3
60.08,32.15
93.69,47.52
129.49,65.11
142.48,66.05
22.91,14.54
139.06,62.57
74.33,39.65
39.48,24.71
69.41,34.78
147.02,75.88
74.4,34.8
49.98,23.1
95.38,48.59
36.78,24.69
12.3,15.59
20.2,12.71
20.08,17.27
23.63,15.52
21.69,14.24
96.49,51.07
28.1,19.6
52.5,23.9
134.62,70.01
71.62,41.37
100.47,48.33
26.68,18.19
29.65,19.82
7.09,8.97
