income_usd,loan_amount_usd,credit_score,months_employed,high_risk
5203.29,29192.65,399,80.3,1
5424.76,12657.57,496,218.1,1
668.88,30206.22,654,122.0,0
5341.97,13204.29,836,205.4,0
4116.79,22785.12,570,276.9,0
1284.94,31193.27,567,50.1,1
959.98,8466.82,453,277.3,0
1147.97,15165.39,520,267.0,0
3191.32,14765.4,793,152.9,0
872.62,27240.7,409,13.6,1
2792.71,9438.7,556,242.5,1
1392.87,25136.61,819,177.2,0
742.98,30419.37,687,94.0,1
1099.32,10004.8,635,12.7,0
983.7,15230.16,600,116.0,0
5453.16,2722.18,308,22.1,1
4123.77,21947.13,607,134.4,1
4012.34,20674.83,493,19.5,0
5890.29,27747.39,382,199.0,1
3572.27,22120.05,523,187.0,1
5632.92,34694.64,567,69.5,1
4092.52,33961.71,695,189.0,1
2960.65,5543.43,630,52.5,0
4345.5,24022.69,434,38.3,1
2874.53,27684.5,630,107.7,0
1558.47,19061.61,569,54.3,0
804.22,11736.78,526,139.7,0
5581.28,6865.78,639,170.1,0
2518.39,30336.43,546,139.0,0
5107.39,1653.54,662,161.7,0
2887.08,21511.2,809,254.3,0
869.03,39759.56,604,296.6,0
3560.1,29097.89,650,22.0,0
986.6,7486.36,453,183.8,0
4493.01,34096.78,483,6.4,1
2654.87,26612.71,367,156.4,1
4897.32,31499.53,636,120.5,0
1069.62,11429.66,463,2.6,1
645.43,37757.68,423,280.1,0
1176.55,27458.03,822,117.5,0
5680.94,10161.01,491,152.6,0
2009.64,14495.76,440,229.2,0
3738.65,7907.22,452,177.0,0
2646.3,1378.93,652,258.5,0
1689.04,3891.25,582,19.3,1
1374.84,6952.85,613,8.5,0
3766.52,34960.99,475,55.2,1
3052.03,24760.01,822,188.3,0
5776.54,18332.53,478,185.9,1
5062.14,21263.69,341,54.9,1
5009.16,37759.45,629,16.6,1
863.77,16269.45,805,161.1,0
2983.6,16652.88,403,270.8,1
518.13,7885.77,385,55.5,1
5168.46,6768.85,309,128.5,1
1908.43,1903.0,791,250.8,0
2857.36,22603.58,593,244.7,0
1798.67,23195.41,716,185.2,0
984.29,21560.76,845,224.1,0
5772.34,29811.01,734,129.7,0
3615.94,6768.72,649,224.9,0
3027.29,23522.43,456,39.0,1
4769.02,37842.4,344,34.5,1
3190.63,24642.81,472,166.7,1
5157.7,31318.63,319,242.8,1
4956.58,20774.81,766,272.8,0
626.38,5274.14,714,138.0,0
3191.29,39416.76,671,163.2,0
699.37,14588.89,613,297.3,0
2628.3,7772.88,642,270.6,0
2534.59,23314.22,566,149.3,0
4893.63,5687.75,338,93.5,1
1760.75,15516.37,842,79.2,1
3732.97,22314.52,403,103.6,0
3065.05,1300.81,324,16.2,0
5044.68,35589.55,583,42.3,1
4967.52,10419.22,365,151.8,1
864.42,23366.16,507,130.6,0
4887.71,27258.52,757,88.8,1
1321.61,16864.2,530,145.3,0
4126.45,36445.01,436,94.2,1
865.97,31386.85,587,291.8,0
943.01,26838.46,401,32.7,1
5654.9,23963.69,490,83.6,1
5231.05,32154.39,826,253.2,1
3009.48,4586.69,423,123.7,1
1646.6,35291.58,746,73.7,0
1734.05,13713.14,806,247.9,0
2097.44,2932.51,846,267.3,0
2431.34,15253.93,300,35.4,1
876.96,14168.04,301,279.2,1
2289.71,39998.3,374,113.7,1
769.66,12241.3,629,246.2,0
802.31,14412.9,590,250.6,0
5271.95,33485.36,763,91.5,1
4238.35,32613.38,335,148.6,1
4690.03,18983.62,550,104.4,1
4247.48,35017.7,734,146.9,1
2232.57,1583.18,654,78.3,1
4161.04,29256.31,488,88.4,1
5344.42,4104.2,410,18.4,1
5596.76,7675.3,526,35.4,1
2759.68,38495.07,385,240.9,1
5350.72,39505.98,390,134.0,0
4595.88,25807.74,751,81.4,0
1678.43,18481.86,331,24.1,1
3598.3,35034.64,764,164.8,1
2049.45,17158.12,375,206.6,1
1646.88,22477.54,392,83.9,1
3236.03,5285.89,351,109.8,1
3951.14,21182.77,479,178.9,1
641.16,6244.19,602,193.0,0
2205.96,13473.57,542,43.3,1
2626.68,10619.44,783,137.6,0
1753.89,29556.23,650,157.3,0
4443.91,26340.54,494,121.7,1
1739.15,33616.06,544,217.4,0
3746.78,35695.19,420,185.8,1
5053.78,5295.09,684,160.9,0
5602.06,39605.63,589,168.4,1
1466.45,34206.51,646,271.4,0
1749.71,14738.93,317,74.2,0
1997.16,23265.01,780,248.5,0
2377.1,3863.77,791,136.5,0
2047.64,9265.78,697,99.0,0
4369.75,13337.23,346,223.3,0
3094.09,20891.28,490,255.3,0
779.06,4493.42,450,178.9,0
1610.55,39601.48,532,278.4,0
1872.35,36278.33,356,74.6,1
4746.82,16156.96,425,19.7,1
1221.0,33081.45,546,174.2,1
1020.18,20689.53,776,137.5,0
3992.08,10466.89,760,21.2,0
967.89,22353.16,658,251.6,0
4365.39,6262.73,312,262.4,1
1483.44,25787.65,573,146.8,0
3977.94,33829.73,812,95.8,0
2414.6,2658.36,435,21.0,0
925.08,4273.62,319,259.3,1
4342.51,10995.62,480,284.7,0
517.43,7344.01,543,204.4,0
4642.86,4592.75,827,119.9,0
5469.24,30397.52,842,55.5,1
1654.4,10428.47,345,119.3,0
3157.32,30246.62,643,44.2,0
4456.61,12357.38,519,280.3,0
2155.21,18338.85,686,20.4,1
3788.43,29770.1,794,9.1,1
664.05,36586.73,714,6.7,1
2267.88,18923.1,549,169.8,0
2115.26,14563.73,320,144.8,1
4185.6,26696.36,808,107.7,0
3936.59,10653.86,814,94.1,0
4257.52,10213.05,653,64.3,1
5328.79,6786.76,787,150.2,0
5647.17,12094.82,481,15.6,1
1072.16,22845.79,492,277.9,1
4007.38,25691.08,831,267.3,0
2369.86,37370.47,484,109.4,1
2247.81,12226.79,549,224.7,0
5046.07,30184.93,478,92.0,1
3408.72,25567.02,418,52.4,1
2937.88,37957.74,540,27.3,1
1556.72,38617.73,714,157.4,1
4571.06,19358.2,706,21.9,0
5271.73,16805.52,325,249.0,1
4167.74,33696.56,480,235.0,1
4466.08,1862.69,743,285.5,0
1102.23,29729.39,757,283.1,0
2239.68,33793.77,479,123.6,1
3078.98,35702.45,740,242.3,1
4797.02,1781.15,696,192.1,0
1039.64,24877.08,492,60.6,1
1639.62,16807.89,592,156.4,0
5734.35,3693.95,394,78.3,1
1285.96,32050.47,316,42.4,1
4528.69,17023.46,422,227.7,0
2756.51,23433.85,616,189.3,0
5321.64,15236.24,727,104.1,0
876.63,12662.86,802,182.9,0
4550.03,32343.38,789,65.2,1
5724.94,33251.55,325,159.7,1
4355.07,6740.35,772,104.1,0
2501.11,20781.15,357,27.3,1
5819.0,6493.97,345,254.3,1
4913.93,5616.59,471,282.0,1
4231.31,5915.8,460,112.1,1
1971.94,31742.92,764,84.1,0
4643.04,31604.38,510,26.4,1
5485.79,18413.85,460,147.2,1
4012.95,7997.93,596,224.7,0
2609.42,1979.37,818,79.0,0
5891.2,4035.26,454,291.7,0
822.53,36745.53,755,188.0,0
2269.81,13754.72,700,278.9,0
5791.75,5653.75,558,276.4,0
3905.76,37161.96,709,198.1,1
1037.2,37078.7,573,68.8,0
3587.04,17924.33,685,193.1,0
5990.39,13916.12,494,101.3,1
5611.2,9991.37,561,151.7,1
2199.65,23608.81,415,117.5,1
1870.86,10107.29,473,4.7,1
1976.81,10514.58,846,118.4,0
1700.82,37231.19,628,21.1,1
1565.43,3334.66,644,278.5,0
2169.13,8370.02,479,81.5,1
4821.3,4053.92,637,8.5,1
3399.94,2445.63,441,126.0,0
1731.44,4856.81,505,217.0,0
5099.38,36889.43,838,285.9,0
2896.77,37981.16,721,122.0,1
1345.17,39199.5,537,110.0,1
3949.15,14388.75,607,25.1,0
794.16,39015.45,470,297.7,1
622.92,36956.06,686,12.2,1
4792.52,13620.46,460,11.1,1
2194.14,23884.24,763,4.5,0
3909.31,25721.35,820,205.4,0
2951.0,7882.24,668,80.3,0
5966.58,31027.45,410,254.6,1
983.24,24901.61,540,225.8,0
5916.98,13521.03,458,238.6,1
4320.01,29810.37,502,49.6,1
5983.9,18628.5,389,204.8,1
1520.3,6047.9,632,290.2,0
2119.49,17398.32,478,251.5,0
1149.07,5567.38,391,61.0,1
5943.26,16976.45,816,17.5,1
2106.63,10809.8,316,150.2,1
1864.42,3816.38,849,64.4,0
3489.71,6605.72,357,5.6,1
5361.43,4985.62,544,51.4,0
3499.13,30091.74,567,113.1,1
583.66,34975.13,707,200.5,0
2287.78,11057.35,802,49.3,0
3970.9,17151.6,512,65.3,0
3125.11,36079.75,688,56.0,0
1674.58,14219.72,313,238.9,0
2424.25,25318.73,313,62.2,1
2852.76,29104.02,484,34.7,1
560.7,24349.18,512,253.2,0
3927.56,39559.9,512,211.4,1
5180.26,3440.73,530,41.4,1
1419.0,5194.47,641,88.4,0
4862.54,39476.33,419,283.3,1
2685.96,23061.97,509,60.4,1
1951.96,15517.2,482,242.1,0
3661.04,37726.41,845,148.1,0
1483.82,36483.59,392,233.8,1
2180.66,35425.23,328,94.5,1
4973.51,2117.96,403,119.4,1
2903.4,16903.59,698,37.6,0
5795.53,33462.66,392,206.6,1
2002.12,17457.69,624,288.0,0
1807.24,27949.51,673,107.8,0
3447.12,33084.01,452,114.5,1
4953.22,27363.89,753,222.6,0
4876.24,11954.93,822,200.9,0
1803.06,29013.69,440,231.0,0
1578.54,37757.56,488,47.1,1
2328.77,17660.88,600,249.1,0
2711.47,13061.58,483,273.8,0
1537.01,26037.58,780,203.7,0
1468.89,10488.46,843,10.7,0
4579.59,14079.33,560,171.0,1
2189.24,15550.41,678,139.9,0
5603.35,33683.96,330,281.8,1
3435.75,30062.44,678,165.0,0
683.15,34419.11,400,139.9,0
4456.75,1133.65,526,142.0,0
1494.67,8085.71,849,81.9,0
2779.28,36615.09,407,289.1,1
2899.84,24313.43,748,197.9,0
737.29,37912.76,336,212.2,0
5485.79,16146.88,762,187.9,0
2045.57,8914.41,350,50.8,1
3823.72,26129.86,305,206.2,1
1906.69,9065.31,351,61.4,0
3729.76,11982.78,695,41.3,1
5187.43,17034.86,494,133.0,1
1490.58,30469.38,385,153.5,1
2815.39,22163.44,712,162.7,0
3390.26,23070.22,662,281.3,0
1072.67,19983.26,350,104.8,1
3778.07,38042.16,617,217.1,1
5996.65,39885.04,558,94.0,1
4939.1,20535.42,785,235.8,0
3351.77,22031.15,779,191.6,1
1615.77,1293.93,534,131.5,0
1088.57,30762.97,604,122.7,1
5321.57,28305.65,520,136.3,0
4560.66,3995.2,416,169.0,1
4727.58,6076.87,693,248.8,0
3074.4,3226.53,673,66.7,0
761.87,17768.95,349,93.4,1
3646.48,23139.29,747,219.5,0
3284.03,4083.34,802,117.8,0
744.21,38054.71,526,191.9,1
2623.39,3064.95,474,295.3,0
4067.99,7074.02,417,155.2,0
1235.29,31767.0,733,256.5,0
1988.04,26511.92,407,6.3,1
1735.04,34122.95,769,195.6,0
4568.31,36389.79,485,195.4,1
2622.79,39352.76,409,160.8,1
4029.0,24717.2,848,24.5,1
2696.61,23404.19,771,74.4,0
2855.81,1583.15,493,179.0,0
1179.19,19472.45,425,10.4,1
2857.3,11971.01,674,154.3,0
5991.47,3412.27,634,166.5,0
4635.46,25187.36,756,296.5,0
4308.55,2766.33,636,291.5,0
4939.89,25570.05,524,174.7,1
848.85,38560.01,533,273.0,1
4899.19,17256.05,468,184.5,1
4871.8,26568.14,421,170.9,1
4129.16,1365.27,491,116.2,1
5529.1,14871.1,678,232.2,0
847.47,5305.04,847,48.3,0
993.74,10904.27,781,55.6,0
5568.33,1968.08,413,195.7,1
2757.96,20177.2,733,223.5,0
5699.28,31314.56,370,25.5,1
3117.68,29535.5,785,297.7,0
2886.99,39374.97,447,238.0,1
4936.11,36161.54,566,65.2,1
3056.19,28569.11,381,229.0,1
1479.89,30648.86,576,47.4,1
2861.42,23724.92,827,234.5,0
1640.27,1691.97,776,88.0,0
5474.16,30839.5,513,59.5,1
5186.68,24951.29,352,112.0,1
1190.11,37397.48,636,175.0,0
2402.09,8268.44,698,176.1,0
4966.94,37344.24,798,105.5,1
629.82,7342.43,716,222.3,0
517.54,3507.87,789,143.1,0
1519.99,25680.44,707,131.7,0
5619.91,13642.58,503,204.2,0
3148.09,21773.42,836,214.1,0
1461.54,15712.72,453,292.5,0
1673.71,8039.52,557,19.5,0
1248.12,34419.92,643,288.6,0
3653.73,32296.09,632,65.0,1
1608.21,12166.11,676,36.6,1
3909.14,14025.79,615,199.8,1
5875.89,30863.0,370,72.6,1
3905.44,18779.23,746,195.0,0
1795.33,28315.92,685,134.9,1
1402.19,36769.97,379,291.8,1
2050.09,33640.6,659,230.8,0
3142.46,24306.67,426,135.6,1
1671.36,31731.56,583,201.5,0
539.56,8232.34,552,13.8,0
4850.2,33876.83,399,156.8,1
3584.21,10706.47,523,245.6,1
4496.9,17495.83,464,151.4,1
2678.41,24747.17,707,126.5,1
1748.34,13657.46,329,77.0,1
3842.82,33245.81,475,138.1,1
2793.15,24179.62,315,234.0,1
2044.06,38038.84,650,214.1,0
5183.35,11879.64,804,40.2,0
5840.7,28315.63,594,98.2,1
4810.93,7007.98,809,118.8,0
5435.16,7690.51,633,122.3,1
3764.0,21109.16,753,288.7,0
1876.9,36134.97,577,242.9,0
5151.5,19420.1,774,78.3,1
